model,probe,exit_code,jsonl_report,html_report
gpt,misleading.FalseAssertion,0,results/reports/20260608_082316_gpt_misleading_FalseAssertion.report.jsonl,results/reports/20260608_082316_gpt_misleading_FalseAssertion.report.html
gpt,dan.Ablation_Dan_11_0,0,results/reports/20260608_082316_gpt_dan_Ablation_Dan_11_0.report.jsonl,results/reports/20260608_082316_gpt_dan_Ablation_Dan_11_0.report.html
gemini,misleading.FalseAssertion,0,results/reports/20260608_082316_gemini_misleading_FalseAssertion.report.jsonl,results/reports/20260608_082316_gemini_misleading_FalseAssertion.report.html
gemini,dan.Ablation_Dan_11_0,0,results/reports/20260608_082316_gemini_dan_Ablation_Dan_11_0.report.jsonl,results/reports/20260608_082316_gemini_dan_Ablation_Dan_11_0.report.html
claude,misleading.FalseAssertion,0,results/reports/20260608_082316_claude_misleading_FalseAssertion.report.jsonl,results/reports/20260608_082316_claude_misleading_FalseAssertion.report.html
claude,dan.Ablation_Dan_11_0,0,results/reports/20260608_082316_claude_dan_Ablation_Dan_11_0.report.jsonl,results/reports/20260608_082316_claude_dan_Ablation_Dan_11_0.report.html
deepseek,misleading.FalseAssertion,0,results/reports/20260608_082316_deepseek_misleading_FalseAssertion.report.jsonl,results/reports/20260608_082316_deepseek_misleading_FalseAssertion.report.html
deepseek,dan.Ablation_Dan_11_0,0,results/reports/20260608_082316_deepseek_dan_Ablation_Dan_11_0.report.jsonl,results/reports/20260608_082316_deepseek_dan_Ablation_Dan_11_0.report.html
